LLLL: abandon
R↑▲↑: ridge
R↑▲→: rifle
R↑▲↓: right
R↑▲■: rigid
R↑▲▲: ring
R↑▲●: riot
R↑●L: ripple
R↑●R: risk
R↑●x: ritual
R↑●←: rival
R↑●↑: river
R↑●→: road
R↑●↓: roast
R↑●■: robot
R↑●▲: robust
R↑●●: rocket
R→LL: romance
R→LR: roof
R→Lx: rookie
R→L←: room
R→L↑: rose
R→L→: rotate
R→L↓: rough
R→L■: round
R→L▲: route
R→L●: royal
R→RL: rubber
R→RR: rude
R→Rx: rug
R→R←: rule
R→R↑: run
R→R→: runway
R→R↓: rural
R→R■: sad
R→R▲: saddle
R→R●: sadness
R→xL: safe
R→xR: sail
R→xx: salad
